000000,cdcdcd,ffffff,feffff,504144,414444,444449,494e47,44494e,010000,fdffff,000083,000008,00008b,e10010,585041,4e4758,585850,475858,475041,4e4750,ffff50,909090,0083c4,00008d,50ff15,020000,001000,558bec,e00010,100000,000050,0000ff,ff7508,c3558b,83c40c,0010ff,000089,ffff89,500010,620010,85c074,5f5e5b,5bc9c3,510010,508d45,8b4c24,5e5bc9,000009,00108b,ffff83,4dfcff,834dfc,c9c355,000059,fcffff,535657,85c075,040000,ff0000,8b4424,1085c0,070110,cccccc,ff50ff,0d0000,000053,0110ff,001068,008d85,250000,008d45,001083,508d85,ffff8b,600010,001085,83c410,001059,894424,a10000,ffff6a,895dfc,6a0158,000080,648925,892500,64a100,6aff68,ec6aff,506489,8bec6a,10ff75,50ff75,8b4df0,ff50e8,890d00,64890d,005f5e,8b5424,8b65e8,c38b65,00005f,030000,ffff00,8965e8,106800,080000,565789,001064,1064a1,005064,894c24,f06489,4df064,000010,578965,00c600,c60010,6800c6,7508ff,0158c3,504000,58c38b,800000,0000eb,ff83c4,000068,442410,010110,1083c4,0000c7,fbffff,000033,7508e8,ffff8d,00006a,0083ec,000056,00ff75,008b45,85c00f,550000,00108d,57ff15,10ff15,c745fc,ff1534,001089,ff8b45,001050,ffff68,ff750c,400000,005959,005356,8b4508,ff75fc,8365fc,65fc00,000200,0cff75,53ff15,345100,65e883,050000,fa0000,680000,ff0f84,33c08d,895424,ff7510,1050ff,006a00,40008b,00106a,00ff15,ff899d,00ffff,7d0000,476574,66abaa,8d45f0,000100,8d45fc,080110,153451,ab66ab,00003b,897424,070000,535353,ffff59,83c414,108d85,56ff15,650000,6a006a,020110,83c418,8bec81,ff1528,ffff3b,060000,000085,598945,ffffe8,530000,c00f84,ec81ec,108d45,ff508d,f40000,0000c0,1ac645,000110,10ffd6,108945,ff7424,08ff15,ffff3c,ff3cc6,3cc685,696c65,7c2414,ff75f8,8b7508,6a0068,106000,285100,6cffff,ffff4e,410000,011089,85ff0f,8b45fc,0085c0,4c241c,85c059,81e1ff,6a0050,46696c,f3ab66,742418,0110e8,10895d,897c24,040100,8d45f8,7c0000,570000,ff8d85,011050,c39090,5933c0,ffff52,52c685,ff52c6,ffff0c,ffff56,ffffb5,e4ffff,5f5e5d,f60000,ff0cc6,0cc685,000057,10ffff,83c404,0b0000,001007,560000,3bc374,008945,fcff8b,2bc851,f50000,170000,004000,000081,45f050,85f674,8b450c,8945e0,8b7424,200000,33d28a,7cffff,f70000,ffff3a,ffff1a,726561,000040,540000,588b4d,ff8985,45fc01,152851,03f903,ffff85,e8834d,ff3ac6,3ac685,000400,654100,ffffc7,900000,ffff39,ff4ec6,ffff4f,ffff3e,0bc645,ff1ac6,1ac685,000004,120000,617465,300000,130000,56576a,0050ff,1b0000,fc0100,ff85c0,83c420,8945fc,000001,8d85f8,4ec685,23c685,ffff23,ff23c6,f30000,720000,00000f,014765,030110,75fcff,090000,24148b,ff8945,c8e100,8b750c,442414,c40c89,ff151c,10598b,65e833,000074,ff7514,ff15cc,cce100,f80000,804000,0cc645,3ec685,ff3ec6,500000,6c0000,8d4424,00c745,fff3ab,ffff88,0c0000,8b4d0c,8bf059,3bc30f,8945d8,8945d4,0000d3,ff1560,33db89,ff15c0,f90000,10c645,0f0000,737472,740000,fcfeff,040110,65e88b,108bf0,ff834d,8d45f4,c08dbd,db895d,70ffff,78ffff,0050e8,8b45e4,0010e8,ffff46,ff4fc6,11c645,0a0000,faffff,3bc375,ffd68b,85c974,83c508,8b7c24,e8c745,595989,65e8c7,c74424,8b45f8,ff1530,ff15c8,01108d,008b4d,15cce1,ff75e4,538d85,50ffff,ff3bc6,4fc685,000077,646c6c,700000,6c6c00,ff5650,000003,ff1580,ff75f4,c8feff,108b45,000f84,103bc3,750cff,610010,b80100,9c0000,001057,8bec83,e1ff00,ec83ec,000039,c0e100,33c08a,f8feff,3bc685,0000c3,000800,526567,008000,e80300,ffffe9,fffff3,8d4c24,75f8ff,0cc745,ff889d,000075,5985c0,50ffd6,011057,00103b,57ffd6,85f60f,008bf0,8945dc,ca33d2,a01060,5985f6,f05985,ffff75,5dfce8,45fc50,740cff,001056,8bec51,33c0eb,30ffff,8b7d08,000064,60e100,5057ff,75e0ff,8b4510,ff46c6,46c685,ffff4d,ff4dc6,4dc685,140000,8d5424,656174,83e103,940000,008b4b,800701,050110,00837d,8d45ec,ffff57,108bf8,8bd18b,148945,0056ff,5350e8,filename,label
36225,1224,895,621,555,552,552,552,552,468,412,356,308,301,277,277,277,276,276,275,275,244,238,223,204,186,179,177,178,173,167,167,163,161,151,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,111,110,107,107,107,104,103,103,96,95,94,91,91,90,90,89,88,86,86,85,83,81,81,81,80,80,79,78,78,78,78,75,76,76,75,75,75,75,75,75,75,75,75,74,74,73,72,72,72,72,71,71,70,69,68,69,68,68,68,68,68,68,66,67,66,66,66,67,65,64,64,61,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,46,49,49,49,48,48,48,47,46,46,46,46,46,46,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,30,31,31,31,31,31,31,30,31,31,31,31,31,30,29,30,30,30,30,30,30,30,30,30,30,28,29,29,29,29,29,29,29,29,29,29,27,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,773115288815bce45898dbfda6d9e4aa3be3c3baca4edf75613897eef111930b,Equation
36215,1224,895,621,555,552,552,552,552,468,412,355,308,301,277,277,277,276,276,275,275,244,238,223,203,186,177,177,178,173,166,166,163,161,151,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,110,107,107,107,104,103,103,96,95,94,91,91,90,90,90,88,86,85,85,83,81,81,81,80,80,79,79,78,78,77,75,75,75,76,76,76,75,75,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,68,69,69,69,69,68,68,68,66,67,67,67,67,67,64,64,64,60,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,47,49,49,49,48,48,48,46,46,46,46,46,45,46,45,45,44,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,31,30,31,31,31,31,31,31,30,31,31,31,31,31,30,29,30,30,30,30,30,30,29,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,27,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,bebd27a5583d35d1a3344261ad1faf5dd18d5c8233966b61394302b371de1560,Equation
37377,1224,897,621,555,552,552,552,552,472,412,356,309,301,277,277,277,276,276,275,275,244,238,223,204,186,184,178,179,173,168,167,164,161,152,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,111,107,107,107,106,103,103,96,95,94,91,91,103,90,90,88,87,86,85,83,81,81,81,80,80,79,79,78,78,78,75,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,73,71,70,70,69,69,69,69,69,68,68,68,67,67,67,67,67,67,65,64,64,61,62,61,62,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,47,49,59,49,48,48,48,50,46,46,46,46,50,46,45,45,45,45,45,45,44,44,44,44,44,44,41,42,42,42,50,42,42,42,41,41,41,41,41,41,41,41,41,44,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,20,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,34,31,33,31,31,31,31,31,30,31,31,31,31,31,30,31,32,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,28,29,31,29,28,28,28,28,28,28,28,28,32,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21,d0c163d105fe7d28732c322ff35c183de736c12f307475cbd8551d646f161090,Equation
36220,1224,895,621,555,552,552,552,552,468,412,356,308,301,277,277,277,276,276,275,275,244,238,223,204,186,178,177,179,173,167,168,163,161,152,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,110,107,107,107,104,103,103,96,95,94,91,91,90,90,90,88,86,86,85,83,81,81,81,80,80,79,79,78,78,78,75,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,68,69,69,69,69,68,68,68,66,67,67,67,67,67,65,64,64,61,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,46,49,49,49,48,48,48,46,46,46,46,46,45,46,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,31,30,31,31,31,31,31,31,30,31,31,31,31,31,30,29,30,30,30,30,30,30,30,30,30,30,28,29,29,29,29,29,29,29,29,29,29,27,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,c879740c9483946256bec7fb1e28b0d2d238521beee7148dca2f108512b0289b,Equation
36220,1224,895,621,555,552,552,552,552,468,412,356,308,301,277,277,277,276,276,275,275,244,238,223,204,186,178,177,179,173,167,168,163,161,152,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,110,107,107,107,104,103,103,96,95,94,91,91,90,90,90,88,86,86,85,83,81,81,81,80,80,79,79,78,78,78,75,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,68,69,69,69,69,68,68,68,66,67,67,67,67,67,65,64,64,61,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,46,49,49,49,48,48,48,46,46,46,46,46,45,46,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,31,30,31,31,31,31,31,31,30,31,31,31,31,31,30,29,30,30,30,30,30,30,30,30,30,30,28,29,29,29,29,29,29,29,29,29,29,27,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,f7b8f63ff2a67d36e06e342fb5897e8b433761ec98afc3b65ae7c13c2eede9d6,Equation
36220,1224,895,621,555,552,552,552,552,468,412,356,308,301,277,277,277,276,276,275,275,244,238,223,204,186,178,177,179,173,167,168,163,161,152,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,110,107,107,107,104,103,103,96,95,94,91,91,90,90,90,88,86,86,85,83,81,81,81,80,80,79,79,78,78,78,75,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,68,69,69,69,69,68,68,68,66,67,67,67,67,67,65,64,64,61,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,46,49,49,49,48,48,48,46,46,46,46,46,45,46,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,31,30,31,31,31,31,31,31,30,31,31,31,31,31,30,29,30,30,30,30,30,30,30,30,30,30,28,29,29,29,29,29,29,29,29,29,29,27,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,8d90f4e903e876f7500237795713943e1c1c9dc16e90b44123c8bdefc749e88f,Equation
36216,1224,888,621,555,552,552,552,552,467,412,355,308,301,275,277,277,276,276,275,275,241,238,222,203,180,178,176,178,162,167,167,163,161,151,147,144,135,133,133,131,125,121,120,121,118,118,117,116,113,113,111,111,111,110,107,106,106,104,103,103,96,95,94,89,90,89,90,89,87,85,86,85,83,81,81,81,80,80,79,78,77,77,77,75,75,75,75,75,75,75,75,74,74,74,75,73,73,72,72,71,71,71,71,71,69,69,69,68,68,68,68,68,67,67,66,66,66,66,66,67,64,64,63,65,61,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,52,52,52,52,47,50,51,50,49,45,49,48,49,48,48,48,46,45,45,46,45,45,46,45,45,45,45,45,45,44,44,44,44,43,43,43,42,42,42,40,42,42,42,41,41,41,40,41,41,41,41,41,38,40,40,40,40,39,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,37,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,34,33,33,33,33,33,32,32,32,32,32,32,32,31,31,32,32,31,29,30,31,31,31,31,31,30,31,31,31,31,31,30,30,30,30,29,30,30,30,30,29,30,30,28,29,29,29,29,29,29,29,29,29,29,27,28,28,27,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,26,27,27,26,23,27,27,27,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,25,25,26,23,25,24,26,25,25,25,25,25,25,25,25,24,25,25,24,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,20,22,20,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,503e21e26b5e7badf58351e27a25e86f0733ac1fa2341095b251ef6cf3db0305,Equation
36676,1224,864,621,555,552,552,552,552,469,412,356,308,301,277,277,277,276,276,275,275,244,238,223,204,186,178,177,179,173,167,168,163,161,152,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,110,107,107,107,104,103,103,96,95,94,91,91,90,90,90,88,86,86,85,83,81,81,81,80,80,79,79,78,78,78,75,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,68,69,69,69,69,68,68,68,66,67,67,67,67,67,65,64,64,61,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,46,49,49,49,48,48,48,46,46,46,46,46,45,46,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,29,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,31,30,31,31,31,31,31,31,30,31,31,31,31,25,30,30,30,30,30,30,30,30,30,30,30,30,28,29,29,29,29,29,29,27,20,23,23,27,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,17,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3b96240880b2fc4d9d05e85e4e47e5cf1f431c551b77a88ee9f21eacd4c5d157,Equation
36088,1224,895,621,552,549,549,551,550,469,412,356,309,301,277,276,277,276,276,274,274,244,240,223,204,186,178,185,179,173,175,166,164,161,152,148,145,135,135,133,131,126,122,121,121,120,118,118,116,115,113,112,112,112,110,107,107,107,107,103,103,96,95,94,91,91,90,90,90,88,86,86,85,83,81,81,81,80,80,79,79,78,78,78,76,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,70,69,69,69,69,68,68,68,73,67,67,67,67,67,65,64,64,63,62,61,59,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,48,49,49,49,48,48,48,47,46,46,46,46,45,23,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,41,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,23,37,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,33,33,33,33,17,33,33,32,32,32,32,32,32,32,32,32,32,16,31,32,31,31,31,31,31,31,31,31,31,17,31,31,30,31,30,30,30,30,30,30,30,30,30,30,31,29,29,29,29,29,29,29,29,29,29,30,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,28,14,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,16,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,14,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,18,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,00b58e4f8525161379681c1532f83e7b85f432933d35dc139ec85bb680ddf633,Equation
36220,1224,895,621,555,552,552,552,552,468,412,356,307,301,277,277,277,276,276,275,275,244,238,223,204,186,178,177,179,173,167,168,163,161,152,148,145,136,135,133,131,126,122,121,121,120,118,118,114,115,113,112,112,112,110,107,107,107,104,103,103,96,95,94,91,91,90,90,90,88,86,86,85,83,81,81,81,80,80,79,79,78,78,78,75,76,76,76,76,76,76,76,75,75,75,75,74,74,73,72,72,72,72,71,71,70,70,68,69,69,69,69,68,68,68,66,67,67,67,67,67,65,64,64,61,62,61,61,60,60,60,59,59,58,58,58,57,57,56,56,55,54,53,53,53,52,52,52,52,51,51,50,50,46,49,49,49,48,48,48,46,46,46,46,46,45,46,45,45,45,45,45,45,44,44,44,44,44,43,43,42,42,42,40,42,42,42,41,41,41,41,41,41,41,41,41,38,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,36,39,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,31,30,31,31,31,31,31,31,30,31,31,31,31,31,30,29,30,30,30,30,30,30,30,30,30,30,28,29,29,29,29,29,29,29,29,29,29,27,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,f4f2380d4ae81a944e0ea66e7a93d61f0b7933ea02b7584a6daadb03a4a427c6,Equation
