000000,ffffff,cccccc,010000,909090,000048,020000,00008b,080000,040000,000001,00488b,000100,feffff,000008,000083,000800,0000e8,0000ff,f9ffff,030000,8b4424,002000,894424,ffff48,85c074,100000,acacac,fffff9,ff0000,fff9ff,4883c4,800100,fdffff,ffff8b,001000,000080,800000,8b4c24,aaa9a8,abaaa9,4883ec,070000,0083c4,a8a7a6,558bec,a6a5eb,d1afb1,090000,e4e3ad,ade191,b1abaa,ebcce9,dee5d1,e9e8e7,010101,ffff83,c3cccc,e7aee6,0000e9,a9a8a7,cdddde,e6e2e4,918fd0,a5ebcc,cce9e8,e3ade1,afb1ab,a7a6a5,d0cecd,e5d1af,dddee5,aee6e2,e2e4e3,ffff00,ff488b,e8e7ae,050000,e1918f,00000f,8d6424,cecddd,8fd0ce,000200,00488d,c74424,000089,85c075,000050,ffff01,484848,060000,faffff,8d4c24,ffffe0,895c24,8b5c24,01ffff,476574,000041,000400,400000,00ffff,000066,004889,000033,00ff15,202020,000040,8b7424,ff01ff,0000eb,000002,006500,0085c0,00008d,000009,83c40c,000900,83c420,101010,000010,fcffff,00004c,0d0000,83c404,000085,fffffe,8b5424,fbffff,85c00f,0a0000,ff83c4,008001,cccc48,894c24,c39090,897424,ffffe9,4885c0,488b5c,83ec20,000060,007200,006f00,006e00,200000,48895c,0000c0,cccc68,0000c7,8b4508,ffe0cc,e0cccc,000020,8be55d,006900,442420,8b7c24,006100,000053,008000,000004,bfbfbf,488944,000074,000044,060355,0c0000,897c24,c00000,007400,5f5e5d,160000,83c408,650000,0f0000,8d4424,000090,488bcb,100010,010048,000700,300000,243048,200020,000003,000300,0033c0,000024,c64424,180000,8d5424,ffff89,fffffa,0000e0,007300,fffaff,895424,488d4c,c00f84,b80100,004000,000059,cc4889,000068,410000,130000,0b0000,50ff15,ffffe8,110000,004883,0310e8,442410,488b44,20488b,ffff0f,ff7424,ffff59,084889,85c974,488d0d,536462,696f6e,006c00,005364,000f84,8b6c24,896c24,006a00,000049,000500,442428,660fba,244048,488b74,000030,000070,000075,33c048,000052,004885,240200,8b4dfc,3f0000,ffff85,604830,5f5e5b,140000,00006a,442404,120000,170000,488974,0000c3,000d00,e55dc3,243848,035504,08488b,ffffc7,840000,574883,f8ffff,8b4d08,002402,ec2048,008b45,4830ff,000a00,210000,002d00,4885c9,442430,ff6048,488b8b,5c2408,696e67,746f72,fc0000,8bcbe8,cea181,0000f0,900000,000088,270000,5c2430,74696f,880000,488bc8,104889,000018,0e0000,fffffd,c20400,442408,488bcf,004c8b,ffff66,020102,006d69,5e5d5b,007500,a181ff,ffff50,4c2420,006300,442418,ffcea1,1085c0,003000,726561,5dc3cc,657373,ffff8d,660fb6,440000,000600,011000,010201,777777,00003b,000007,040100,83c410,030048,730000,488b4b,696c65,000005,f00000,0000a0,488b4c,010001,000045,bababa,007000,90558b,488bd9,720000,488d15,740000,e5ffff,0000d0,b0b0b0,8bec83,0000b8,cc558b,488b05,150000,6c0000,83c8ff,002100,666666,b80000,006800,006400,00003c,000051,00002b,00006d,6a006a,c80000,442440,240000,0000fe,006d00,909055,000c00,0000b0,111111,e00000,00660f,500000,5fc3cc,1a0000,8bcfe8,244848,660fbe,660fa3,83c428,000081,f7ffff,1f0000,240848,ff0f84,3d0000,656374,c4205f,790000,488d05,656e74,250000,ec83ec,00cccc,f5ffff,700000,488d54,640000,46696c,245048,040404,220000,8b450c,6e0000,020048,fffefe,b00000,cccc55,488b7c,5dc38b,c745fc,8b45fc,442438,280000,000006,442414,30488b,680000,cccc40,1c0000,c3558b,ff85c0,536574,534883,4f7574,000054,4533c0,00005f,ff7508,00448b,1b0000,746572,24108b,a00000,6f7220,8b8c24,c0488b,480000,205fc3,400100,8945fc,0a0a0a,0000b9,000056,737472,980000,ffc700,008b4d,c4205b,6d6964,ff660f,000028,330000,00000c,fefeff,488bd8,f6ffff,8b4604,696469,488bce,85c90f,3c0000,00009c,000057,81ffce,e55dc2,8b8424,ffff33,83f8ff,0000cc,85f674,617465,0000c6,420000,40488b,f0ffff,1e0000,617665,69676e,190000,004833,488b0d,340410,00008a,405348,ffff7f,8bcee8,ffc000,63746f,ff3424,f4ffff,9c8d64,00ffc0,48897c,656164,000021,442424,000073,filename,label
14318,196,323,107,203,8,33,106,328,45,49,5,27,27,301,59,302,9,18,16,45,128,9,54,0,24,26,0,0,9,0,0,1,30,25,23,17,7,106,0,0,0,123,46,0,1,0,0,137,0,0,0,0,0,0,0,7,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,62,0,14,0,0,0,16,0,23,33,18,62,0,0,33,20,10,158,1,17,0,78,20,23,14,3,4,0,16,4,0,23,34,0,9,17,3,3,10,125,52,129,0,0,28,20,4,19,12,6,0,58,22,22,12,5,1,0,52,27,13,0,0,0,0,17,3,3,3,14,0,19,157,15,0,158,158,17,0,3,4,32,6,130,5,21,0,1,7,3,0,10,23,2,4,55,20,25,50,14,7,13,4,1,0,16,7,0,0,22,20,2,3,1,21,6,1,0,12,6,0,26,0,16,10,13,5,0,4,7,28,12,11,0,14,0,0,49,3,0,1,1,1,0,4,0,272,29,3,270,2,16,8,11,5,19,12,0,0,0,14,21,7,0,23,0,2,0,6,6,0,6,24,10,4,26,24,0,9,16,0,0,0,0,4,4,0,17,0,0,0,1,0,12,4,3,0,2,0,0,0,36,2,1,0,0,15,3,4,2,0,25,4,1,0,5,3,0,2,8,0,0,0,0,0,42,3,0,0,11,8,30,0,17,5,11,0,5,1,0,11,13,4,0,0,14,14,2,10,0,22,0,18,21,3,11,4,0,2,1,8,0,0,12,0,6,0,10,0,0,5,0,0,24,6,0,5,0,2,4,3,4,24,15,3,9,1,2,4,2,3,0,7,15,0,1,0,11,0,18,0,1,0,0,4,8,16,10,0,2,4,8,0,2,0,3,2,0,0,16,9,0,20,17,0,0,2,1,10,0,0,1,0,2,0,0,0,4,2,12,18,0,8,0,7,0,4,10,0,0,22,0,7,0,0,21,14,32,2,1,10,0,2,0,0,0,0,5,9,3,4,4,0,0,0,0,2,7,8,0,0,16,12,0,0,10,2,3,7,0,0,1,0,2,1,3,9,1,6,0,1,2,0,0,20,1,0,0,7,0,1,0,0,1,0,13,0,0,0,37,6,22,8,96b33f498ab8b4894fac4da41e0e7f11e9f3eb32b03e5a2213e1c47c497cb852,Winnti
1346,12,12,14,0,0,8,3,2,9,3,0,6,25,1,9,0,2,7,2,9,0,7,0,0,1,17,0,0,2,0,0,0,19,1,14,31,0,0,0,0,0,4,8,0,10,0,0,2,0,0,0,0,0,0,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,3,0,0,2,6,8,0,0,8,11,1,0,0,0,0,11,1,5,8,5,0,0,2,11,0,7,0,0,0,5,4,4,1,0,6,0,1,0,10,1,1,3,0,1,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,3,0,3,1,9,0,4,0,1,1,0,0,5,0,1,0,0,3,7,0,5,0,0,1,0,94,2,0,1,2,0,2,0,6,1,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,1,0,3,1,0,0,0,1,1,5,9,0,1,8,3,0,19,5,0,0,0,0,0,0,0,6,3,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,3,4,1,0,2,0,0,0,0,2,0,4,0,4,0,2,0,0,0,0,0,0,64,0,1,0,0,0,7,0,0,2,0,1,2,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,10,0,0,0,3,2,0,3,0,0,0,0,6,0,0,0,0,20,0,1,0,0,0,1,8,0,5,4,0,0,1,0,0,2,0,1,4,1,0,4,0,7,0,0,4,0,6,0,0,0,0,0,2,0,4,0,3,0,0,3,0,0,2,7,2,0,0,1,3,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,2,0,2,0,1,0,3,32,0,2,1,3,0,2,8,0,0,18,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,5,0,0,3,2,0,0,0,2,0,2,6,0,1,6,0,0,2,0,0,0,0,0,1,0,0,1,4,1,0,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,9,0,0,6,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,ed855200be3f4068841654085718f43b1bf94dedb1c791b1d6aa5ebf1b957126,Winnti
15050,267,437,187,1580,9,61,127,335,56,50,5,30,46,302,74,302,10,33,25,95,163,9,70,0,41,37,0,0,11,0,0,1,24,40,30,31,19,124,0,0,0,121,60,0,2,0,0,139,0,0,0,0,0,0,0,24,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,70,0,13,0,0,0,24,0,50,43,36,73,1,0,40,10,34,210,12,20,0,153,9,25,15,4,7,0,40,19,0,29,48,0,9,20,11,12,28,125,61,129,1,0,32,21,4,20,25,15,0,68,15,30,12,19,1,0,56,57,15,0,0,0,0,23,6,5,5,16,1,21,209,17,0,209,209,19,4,5,10,40,5,38,7,24,0,2,15,6,0,16,27,2,5,65,6,41,63,16,40,18,4,1,0,16,27,0,0,22,20,25,3,24,5,29,2,0,17,17,0,27,0,23,16,10,5,0,10,36,13,12,32,1,13,0,218,62,5,0,1,3,2,0,5,0,0,14,10,0,2,18,9,17,5,20,17,0,0,0,20,19,8,0,32,0,1,0,8,7,0,11,10,20,19,9,8,0,40,17,0,0,0,1,4,3,0,22,0,0,0,2,0,12,4,5,0,5,0,0,1,16,9,1,0,0,14,3,7,2,1,8,4,1,0,2,4,0,2,22,0,0,2,0,116,50,3,0,3,14,8,38,0,32,9,46,1,49,12,0,6,14,2,1,0,18,13,4,13,0,22,0,22,17,1,17,4,0,3,0,11,1,0,16,0,21,0,16,0,0,4,0,0,9,19,3,5,0,3,6,7,3,34,13,74,19,2,5,3,1,5,1,9,14,0,1,0,3,0,3,0,0,0,0,4,7,21,14,0,2,11,11,0,6,0,16,3,0,0,22,13,0,18,18,0,0,2,2,15,0,0,1,0,2,0,0,1,9,12,11,33,0,7,0,8,0,5,30,0,89,18,0,12,1,0,11,7,38,3,1,12,0,2,0,2,0,0,11,14,16,4,4,0,0,88,0,2,23,6,0,0,23,15,86,0,10,4,1,13,0,4,4,1,8,1,8,28,2,3,0,21,2,78,2,4,1,0,0,6,0,0,0,0,6,0,25,0,0,0,27,4,26,15,91b93b82c3659c01341ca091a3c8a10854f9a9e0be26fa788cd863fd2af90170,Winnti
51081,2213,5850,1243,0,40,547,1410,238,445,284,0,394,953,44,710,93,225,244,210,339,53,285,5,9,314,159,0,0,424,0,0,14,839,976,151,149,164,24,0,0,0,116,512,0,1332,0,0,119,0,0,0,0,0,0,419,876,469,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,131,0,255,1,0,0,154,0,0,267,240,258,84,0,82,183,3,10,0,3,8,45,22,83,156,173,121,0,117,94,48,102,2,3,419,60,413,150,205,13,406,46,12,127,81,241,21,149,337,87,3,95,626,127,93,699,8,0,1,0,0,191,1,0,15,65,323,196,342,61,0,70,2,314,753,0,0,55,852,318,0,3,386,53,77,58,0,0,147,29,64,86,0,38,226,23,114,282,92,56,3,36,0,81,0,24,44,0,82,58,79,98,15,0,44,1,397,0,37,312,1,3,0,69,60,104,321,0,132,37,36,47,115,530,37,0,0,9,0,0,227,1,248,0,91,0,0,60,199,0,51,1,3,249,11,27,1,0,0,0,43,49,108,0,28,0,3,972,42,223,0,63,52,242,6,37,31,0,45,60,419,0,37,0,204,55,0,60,637,0,0,460,0,57,36,435,0,1,0,0,0,26,63,223,0,0,51,41,38,84,0,52,43,0,3,25,37,4,270,17,0,0,43,53,0,0,160,0,380,0,163,3,0,42,128,46,490,48,234,0,286,12,13,51,100,46,71,23,151,4,61,0,50,14,75,24,0,29,29,0,112,0,0,83,0,70,249,46,0,350,59,916,0,38,58,85,11,0,17,182,125,30,21,48,29,162,17,0,46,108,115,0,39,27,1,75,13,27,0,19,0,0,1,0,6,50,32,31,0,39,36,44,0,51,0,27,44,323,380,24,28,0,52,24,0,0,35,260,96,0,4,24,838,0,22,429,541,0,31,7,7,0,45,0,33,324,79,16,0,1,34,0,21,170,0,18,37,9,17,37,0,0,21,0,9,287,0,13,45,38,34,94,461,0,0,3,36,10,31,6,0,27,14,0,0,204,26,13,45,0,429,0,83,65,36,71,26,46,82,0,26,24,1,24,16,0,0,0,50,0,42,3,0,42,0,24,0,0,0,21,9,0,108,24a9bfbff81615a42e42755711c8d04f359f3bf815fb338022edca860ff1908a,Winnti
29372,2661,31,217,95,6,76,5,71,119,166,0,133,72,25,10,44,14,135,2,67,8,26,7,0,4,43,0,0,101,0,0,0,39,6,35,70,93,7,448,437,0,22,15,437,2,448,447,28,445,444,444,443,442,440,9,0,0,435,15,414,432,430,429,429,426,426,426,424,423,420,419,419,417,56,0,414,30,413,24,0,410,407,27,0,6,10,2,25,6,0,23,5,13,2,1,1,3,10,3,43,44,79,4,0,18,10,17,33,0,0,1,30,7,5,21,5,3,2,2,1,47,19,6,10,2,0,96,4,9,3,27,0,0,0,1,9,0,5,0,0,1,12,9,16,16,27,0,19,0,4,0,0,0,35,1,11,2,1,15,6,58,35,0,0,10,5,0,13,0,53,9,12,17,4,11,9,9,23,0,0,0,47,13,0,0,23,24,15,1,2,20,6,2,1,27,4,0,3,0,1,1,16,2,0,16,16,42,11,11,0,6,0,0,3,1,0,3,0,2,0,1,0,0,4,4,0,9,0,0,14,4,23,2,0,0,0,14,13,4,0,10,0,0,0,3,0,82,0,9,7,2,19,12,0,5,3,1,0,0,0,0,1,0,0,0,0,0,1,80,3,2,0,0,1,80,0,0,5,2,28,0,74,14,10,20,3,0,3,3,0,0,10,17,46,6,6,0,0,0,1,0,4,7,72,0,1,3,3,72,1,5,8,0,4,3,0,3,30,0,1,32,3,26,19,6,0,7,0,7,17,28,5,0,6,2,0,3,1,0,4,0,5,0,11,0,0,4,0,0,3,5,1,12,5,2,9,3,4,5,8,1,9,3,0,27,19,16,1,13,5,54,10,0,2,0,28,0,0,0,0,0,6,2,5,0,0,3,2,0,2,0,22,37,0,2,2,7,0,7,7,0,0,8,0,7,0,43,3,0,0,0,1,0,0,14,23,3,0,22,0,6,0,0,2,0,0,6,0,3,0,0,8,3,1,2,1,0,0,11,0,4,0,0,11,4,3,7,0,1,0,0,0,19,3,13,42,0,0,0,0,0,0,2,2,6,53,0,0,0,0,3,2,5,4,5,0,0,14,0,0,3,0,0,0,20,0,10,1,48,1,0,1,0,48,0,3,15,1,0,be9254b2156e1f7089d86949cd314c42970640e1512785e735a2e753870ceca8,Winnti
8602,335,417,1017,0,495,143,47,70,77,81,179,100,56,316,35,22,363,46,7,48,15,236,76,231,124,45,0,0,23,0,141,469,22,17,131,32,53,18,0,0,133,32,0,0,0,0,0,27,0,0,0,0,0,0,118,9,92,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,180,0,37,0,38,0,0,0,62,116,17,27,61,17,0,0,28,8,47,193,72,65,1,99,135,32,32,16,23,93,46,46,66,37,42,0,62,24,101,46,10,122,0,10,84,48,27,13,69,33,0,56,0,12,15,36,49,0,242,64,23,0,50,5,101,62,80,54,77,86,78,30,64,45,0,14,0,2,1,32,0,73,33,20,74,18,7,17,0,44,38,42,0,43,32,31,76,4,50,7,26,24,15,27,44,93,12,5,10,50,82,7,6,24,6,3,25,13,4,0,12,45,0,15,40,30,36,13,4,49,10,20,15,30,2,4,27,39,0,1,11,39,5,2,0,37,36,23,0,25,47,0,13,19,18,1,45,7,16,0,39,40,27,19,22,42,25,54,0,0,13,14,0,0,22,9,0,28,27,47,8,52,0,38,0,22,15,41,44,20,1,0,48,0,0,53,23,19,51,11,0,89,42,17,56,6,25,0,18,18,19,37,38,20,25,27,30,27,22,0,0,3,19,34,3,49,58,2,47,0,0,27,37,3,0,0,24,21,24,30,0,0,26,4,4,53,0,3,2,10,1,0,22,42,20,5,4,21,15,29,33,0,37,0,31,30,30,18,3,17,0,0,23,0,31,27,20,10,19,32,18,23,39,18,5,5,4,0,23,10,7,2,28,0,25,20,0,6,0,25,30,11,16,21,0,0,30,11,23,13,29,2,23,29,33,34,53,15,4,0,12,18,21,13,12,19,25,0,10,0,16,77,4,24,0,18,0,0,0,16,7,2,0,24,9,28,13,0,15,20,34,44,18,25,17,0,18,30,21,2,20,35,3,24,10,29,15,0,0,17,1,26,5,14,0,29,44,0,10,7,23,0,34,22,4,43,15,8,8,10,8,0,0,9,13,6,36,4,11,16,24,25,34,9,40,2,12,22,33,0,6,30,3,9,0,37,0,20,0,0,22,18,8,1,10,1888cd56b21a6571193b67166cf61980e3e976f0bb6e9439e6502461260e383b,Winnti
17695,195,316,139,3964,8,49,109,327,45,49,5,26,35,299,57,302,7,18,17,49,129,9,55,0,25,28,0,0,9,0,0,0,30,30,24,16,8,104,0,0,0,120,45,0,2,0,0,137,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,62,0,14,0,0,0,21,0,24,35,18,60,0,0,33,20,9,158,1,18,0,79,18,23,12,3,5,0,19,4,0,25,37,0,8,17,3,3,12,125,54,129,0,0,29,22,4,19,11,5,0,57,25,22,12,9,0,0,52,30,13,0,0,0,0,20,3,3,3,14,0,18,157,15,0,158,158,16,1,3,6,36,5,132,5,22,0,1,7,4,0,11,23,2,3,56,20,26,37,14,10,16,4,1,1,16,8,0,0,22,20,5,3,6,21,7,1,0,12,6,0,25,0,17,10,10,4,0,4,8,28,11,12,0,16,0,0,49,3,0,1,0,1,0,5,0,272,29,3,270,2,17,8,12,3,19,12,0,0,0,16,16,7,0,23,0,2,0,8,6,0,7,25,9,5,27,24,0,10,16,0,0,0,0,4,3,0,20,1,0,0,1,0,12,4,3,0,2,0,0,0,38,2,1,0,0,11,3,3,2,0,25,3,1,0,3,3,0,1,7,0,0,0,0,0,43,3,0,0,11,8,31,0,16,6,11,0,5,1,0,11,13,6,0,0,15,13,2,10,0,22,0,23,17,1,12,4,1,3,0,5,1,0,12,0,6,0,11,0,0,4,0,0,24,7,1,5,0,2,3,3,3,24,12,2,11,1,2,3,1,3,1,7,11,0,1,0,5,0,18,0,1,0,0,4,8,16,10,0,2,2,8,0,2,0,3,3,0,0,16,8,0,6,22,0,0,2,3,10,0,0,1,0,2,0,0,0,4,2,10,22,0,4,0,7,0,4,10,0,0,18,0,8,0,0,19,14,33,2,1,10,0,2,0,7,0,0,5,8,5,4,4,1,0,0,0,2,7,6,0,0,16,12,0,0,10,3,2,7,0,1,1,0,5,1,4,11,2,6,0,1,2,0,0,20,1,0,0,6,0,0,0,0,1,0,11,0,0,0,35,4,22,7,fbb004fcc7b365b91e6954d8a3c4ced004b578f5bdde8881c094fb8b382ef92d,Winnti
15113,286,30,194,245,12,84,149,334,59,56,5,32,187,300,110,302,18,30,35,62,134,9,54,0,31,36,0,0,33,0,0,0,40,77,30,23,27,111,0,0,0,121,79,0,32,0,0,139,0,0,0,0,0,0,0,58,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,68,0,15,0,0,0,33,0,32,50,34,57,5,0,33,41,18,210,4,19,0,155,11,25,17,3,10,0,53,17,0,20,39,0,26,20,19,10,48,127,76,129,0,0,23,72,9,20,41,20,0,65,12,26,12,34,0,0,53,34,13,1,0,0,3,14,9,7,7,17,1,8,0,27,30,1,1,8,29,7,5,33,5,34,12,26,1,1,20,9,0,12,26,2,7,49,6,50,67,17,19,3,4,1,0,16,8,0,1,20,20,32,5,10,5,13,24,0,5,28,0,27,0,20,20,10,8,0,20,37,12,13,45,1,13,0,210,49,4,0,1,0,1,0,5,0,0,14,14,0,7,16,9,30,7,19,14,0,0,0,8,10,14,0,28,1,3,22,8,9,0,8,10,29,6,10,9,0,17,16,27,0,0,0,8,5,0,33,20,1,0,22,0,12,6,4,0,3,0,0,1,17,9,11,0,0,5,4,4,3,0,8,27,1,0,4,5,0,3,6,0,0,1,0,116,38,3,0,41,11,8,35,0,24,6,46,4,49,3,0,7,13,2,0,0,17,14,5,14,0,22,0,25,20,3,5,4,0,5,0,20,0,0,18,0,24,0,3,0,13,14,4,1,10,19,4,5,0,3,8,10,4,32,13,80,32,3,4,3,6,7,0,8,8,0,1,0,3,1,3,0,0,0,0,4,13,22,10,0,1,20,12,0,7,0,16,4,13,0,36,17,0,18,19,0,0,2,8,15,0,0,3,4,2,0,15,29,5,2,11,25,0,8,0,7,25,6,30,0,89,19,0,13,1,0,10,6,36,9,1,10,0,2,0,2,14,0,15,10,17,18,4,10,0,88,0,3,15,12,0,0,30,11,86,0,10,26,3,18,0,2,3,1,5,4,6,30,9,3,0,18,7,78,2,7,1,0,0,9,0,0,0,0,6,0,23,0,0,0,27,9,23,18,94b3b3b3a3fa3728c330ad591b9e3c9c31b5b8067e3521a67cbf7512fda42fd5,Winnti
3520,735,227,86,2,5,10,17,13,19,43,0,46,7,10,17,9,6,14,0,11,0,36,1,0,13,12,0,0,8,0,0,1,1,2,9,36,19,1,0,0,0,8,8,0,51,0,0,5,0,0,0,0,0,0,0,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,2,0,0,0,3,0,0,7,2,2,0,0,3,0,0,0,0,0,0,1,9,5,107,10,7,0,6,5,0,105,1,0,7,6,18,12,2,0,9,0,0,0,5,5,1,6,0,7,3,0,0,2,3,1,1,0,0,0,0,1,0,0,0,3,8,4,2,40,0,8,0,0,7,0,0,34,0,8,0,0,2,5,19,3,0,0,17,2,0,6,0,0,6,1,1,1,8,3,0,1,0,0,0,0,1,0,0,3,2,6,0,0,3,0,1,0,3,0,0,0,0,6,3,107,0,0,2,10,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,8,2,2,1,0,0,0,0,0,7,0,4,0,0,5,2,3,0,3,1,7,0,2,6,0,1,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,6,1,0,2,0,0,0,1,5,0,14,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,1,1,1,5,0,2,1,2,0,0,0,1,0,3,0,0,1,0,2,0,0,3,0,5,0,0,2,0,0,4,0,5,0,2,0,9,2,0,0,0,1,4,0,0,1,1,2,1,1,0,1,0,0,0,1,1,2,0,0,5,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,2,5,0,1,0,1,8,9,44,2,1,0,1,2,0,0,0,3,1,0,0,2,0,0,0,1,6,0,1,2,0,0,0,0,2,0,5,1,0,0,0,0,4,12,0,4,1,0,0,0,0,0,0,0,0,14,0,0,3,2,0,0,3,0,0,0,1,0,4,0,0,0,5,0,0,0,1,0,5,0,0,0,1,3,1,3,3,5,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,22562716be013e3114c79ffe69a7b19e2e0275ef2aa74e5bf518b225c41dce76,Winnti
10791,1338,3,149,117,2,34,22,25,59,131,0,85,57,6,20,12,15,96,1,18,17,17,13,0,6,31,0,0,72,0,0,0,33,6,21,114,93,8,0,0,0,8,16,0,3,0,0,6,0,0,0,0,0,0,27,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,8,0,5,0,0,0,7,0,10,12,8,17,0,0,3,15,25,2,2,3,0,12,4,17,24,35,16,0,27,15,2,20,0,0,1,11,5,10,12,2,4,2,0,1,14,18,7,6,8,5,94,14,18,2,8,3,0,0,5,12,2,5,0,0,0,4,0,4,1,20,0,13,0,5,0,0,0,13,6,0,2,5,2,12,61,11,0,0,5,1,76,11,0,61,1,11,2,6,11,3,15,2,0,0,0,4,13,0,0,8,9,16,3,48,8,16,4,1,17,3,1,0,0,2,9,9,2,0,10,10,3,2,23,0,6,0,0,8,0,0,0,0,0,0,0,0,0,10,1,0,0,2,0,13,0,1,1,0,0,0,9,2,2,0,7,0,0,0,3,2,82,6,4,8,5,2,2,0,9,0,0,0,51,0,1,0,0,0,0,0,0,2,80,3,0,1,0,8,80,0,1,10,2,31,0,74,4,1,9,0,2,5,1,0,0,1,3,45,8,5,0,0,2,5,0,4,1,72,2,1,1,5,72,0,6,9,0,9,4,0,1,1,0,0,34,1,6,10,2,0,9,0,14,1,27,3,0,6,1,2,0,2,0,5,0,4,0,4,0,0,2,0,0,4,8,1,1,6,3,9,0,0,10,2,1,7,2,0,1,10,1,1,0,5,55,9,0,3,0,8,0,0,0,0,0,3,1,3,0,3,1,3,0,1,0,11,5,0,8,4,8,0,9,15,0,1,1,1,3,0,43,2,0,0,0,5,0,2,10,1,5,0,5,0,0,0,2,3,0,0,3,0,8,0,0,1,6,0,1,4,4,0,0,0,1,0,271,12,9,6,2,0,0,0,0,0,9,42,0,41,0,0,0,0,0,0,0,2,5,53,6,2,3,12,13,1,7,8,0,0,1,1,0,15,2,0,0,0,1,0,2,0,48,1,0,2,0,49,0,7,0,2,9,1a4a64f01b101c16e8b5928b52231211e744e695f125e056ef7a9412da04bb91,Winnti
